rstk__icitem__c,Id,Part Num,,"Select rstk__externalid__c , Id from rstk__icitem__c Where rstk__icitem_div__r.Name like '%Bodies%' and rstk__externalid__c in ('STB_300-70031',",rstk__icitem_invuom,rstk__icitem_ltmfgwoshopflr__c,rstk__icitem_sspolqty__c,rstk__icitem_mrpminqty__c,rstk__icitem_mrpmaxqty__c,rstk__icitem_mrpminqtyind__c,rstk__icitem_mrpmaxqtyind__c,rstk__icitem_sspolqtyind__c,rstk__icitem_ltmfgwoshopflrind__c,,,,,,,,,,,
,a2um0000001YdqGAAS,700-40961,STB_700-40961,"'STB_700-40961',",EA,21,35,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqHAAS,700-82457,STB_700-82457,"'STB_700-82457',",EA,14,15,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqJAAS,700-82990,STB_700-82990,"'STB_700-82990',",EA,14,15,2,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqKAAS,800-50091,STB_800-50091,"'STB_800-50091',",EA,14,2,3,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqLAAS,800-50481,STB_800-50481,"'STB_800-50481',",EA,14,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdQMAA0,600-20277,STB_600-20277,"'STB_600-20277',",EA,42,60,40,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqMAAS,600-20071,STB_600-20071,"'STB_600-20071',",EA,7,5,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqNAAS,600-20111,STB_600-20111,"'STB_600-20111',",EA,14,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdQOAA0,600-20275,STB_600-20275,"'STB_600-20275',",EA,42,60,40,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqOAAS,600-20136,STB_600-20136,"'STB_600-20136',",EA,14,5,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdQPAA0,600-20274,STB_600-20274,"'STB_600-20274',",EA,42,60,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqPAAS,600-20307,STB_600-20307,"'STB_600-20307',",EA,14,5,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqQAAS,600-20308,STB_600-20308,"'STB_600-20308',",EA,14,2,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdQRAA0,600-20272,STB_600-20272,"'STB_600-20272',",EA,42,60,40,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqvAAC,800-50184,STB_800-50184,"'STB_800-50184',",EA,14,2,12,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqxAAC,800-50284,STB_800-50284,"'STB_800-50284',",EA,21,20,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqyAAC,800-50882,STB_800-50882,"'STB_800-50882',",EA,21,30,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdqzAAC,500-00269,STB_500-00269,"'STB_500-00269',",EA,14,40,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr0AAC,600-80080,STB_600-80080,"'STB_600-80080',",EA,14,10,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr1AAC,700-10199,STB_700-10199,"'STB_700-10199',",EA,21,100,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr2AAC,700-10200,STB_700-10200,"'STB_700-10200',",EA,21,120,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr3AAC,500-00535,STB_500-00535,"'STB_500-00535',",EA,14,40,9,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr4AAC,700-44818,STB_700-44818,"'STB_700-44818',",EA,21,50,6,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr5AAC,500-00262,STB_500-00262,"'STB_500-00262',",EA,14,10,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr6AAC,500-00266,STB_500-00266,"'STB_500-00266',",EA,14,36,36,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr7AAC,500-00270,STB_500-00270,"'STB_500-00270',",EA,14,5,9,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001Ydr8AAC,700-90054,STB_700-90054,"'STB_700-90054',",EA,21,90,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdraAAC,800-51427,STB_800-51427,"'STB_800-51427',",EA,21,30,60,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrbAAC,800-50883,STB_800-50883,"'STB_800-50883',",EA,21,30,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrcAAC,800-50583,STB_800-50583,"'STB_800-50583',",EA,14,1,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrdAAC,800-50881,STB_800-50881,"'STB_800-50881',",EA,21,25,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdreAAC,800-50884,STB_800-50884,"'STB_800-50884',",EA,21,16,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrfAAC,800-50885,STB_800-50885,"'STB_800-50885',",EA,21,16,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrgAAC,800-50908,STB_800-50908,"'STB_800-50908',",EA,21,8,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrhAAC,800-50910,STB_800-50910,"'STB_800-50910',",EA,21,8,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdriAAC,800-50916,STB_800-50916,"'STB_800-50916',",EA,21,8,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrjAAC,800-50918,STB_800-50918,"'STB_800-50918',",EA,21,8,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrsAAC,800-51035,STB_800-51035,"'STB_800-51035',",EA,14,10,6,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdrtAAC,800-51068,STB_800-51068,"'STB_800-51068',",EA,21,9,8,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
,a2um0000001YdruAAC,800-51069,STB_800-51069,"'STB_800-51069',",EA,14,12,8,1000,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
